id,date,open,high,low,close,volume,adjClose
225,2013-01-29,80.43,81.389999,80.360001,81.220001,1460500,76.065664
226,2013-01-30,81.410004,81.870003,81.260002,81.550003,1180000,76.374724
227,2013-01-31,81.830002,82.339996,81.739998,82.019997,967300,76.814891
228,2013-02-01,83.309998,83.639999,83.010002,83.57,1577400,78.266529
229,2013-02-04,82.190002,82.610001,81.110001,81.440002,1029200,76.271704
230,2013-02-05,81.43,81.889999,81.330002,81.879997,938800,76.683776
231,2013-02-06,80.129997,80.650002,79.599998,80.160004,1261500,75.072936
232,2013-02-07,79.93,80.040001,78.919998,79.739998,1309800,74.679584
233,2013-02-08,79.510002,80.050003,79.43,79.919998,1373100,74.848161
234,2013-02-11,79.209999,79.360001,78.57,79.239998,1645100,74.211315
235,2013-02-12,79.620003,80.93,79.5,80.93,939200,75.794067
236,2013-02-13,80.760002,81.040001,80.379997,80.669998,723200,75.550565
237,2013-02-14,79.449997,80.07,79.32,80.07,816200,74.988644
238,2013-02-15,80.230003,80.489998,79.75,80.040001,894800,74.960549
239,2013-02-19,79.940002,80.540001,79.82,80.540001,705700,75.428818
240,2013-02-20,80.650002,80.879997,79.669998,79.699997,1038200,74.642122
241,2013-02-21,78.18,78.550003,77.959999,78.050003,1088900,73.096839
242,2013-02-22,78.209999,78.940002,77.760002,78.910004,654300,73.902263
243,2013-02-25,80.900002,81.169998,78.239998,78.260002,1629100,73.293511
244,2013-02-26,77.690002,78.199997,77,77.860001,1436600,72.918894
245,2013-02-27,77.440002,78.699997,77.370003,78.599998,1593400,73.611931
246,2013-02-28,78.550003,78.940002,78.160004,78.199997,798000,73.237314
247,2013-03-01,78.25,78.940002,77.720001,78.68,780000,73.686856
248,2013-03-04,79.209999,80.050003,79.029999,79.919998,611200,74.848161
249,2013-03-05,80.900002,82.25,80.879997,81.870003,1375500,76.674416
250,2013-03-06,82.93,83.199997,82.089996,82.690002,1442600,77.442377
251,2013-03-07,83.669998,84.029999,83.25,83.440002,1248100,78.144781
252,2013-03-08,82.910004,83.360001,82.540001,83.209999,867700,77.929374
253,2013-03-11,82.93,83.480003,82.790001,83.25,650000,77.966837
254,2013-03-12,83.839996,83.849998,82.699997,82.889999,503400,77.629682
255,2013-03-13,82.830002,83.019997,82.449997,82.620003,440800,77.37682
256,2013-03-14,83.650002,84.660004,83.43,84.57,925100,79.203067
257,2013-03-15,84.540001,84.639999,83.93,84.580002,943300,79.212435
258,2013-03-18,82.720001,83.68,82.610001,82.980003,838500,77.713974
259,2013-03-19,83.290001,83.580002,81.870003,82.599998,851300,77.358085
260,2013-03-20,83.459999,83.580002,82.849998,83.190002,541200,77.910647
261,2013-03-21,81.080002,81.489998,80.660004,80.720001,2148400,75.597395
262,2013-03-22,81.089996,81.580002,80.610001,81.040001,1625400,75.897087
263,2013-03-25,81.580002,81.830002,79.629997,79.860001,1198600,74.791971
264,2013-03-26,79.720001,80.269997,79.290001,80.269997,1016600,75.175948
265,2013-03-27,78.699997,79.32,78.330002,79.18,1656000,74.155125
266,2013-03-28,79.510002,80.68,79.379997,80.540001,1877500,75.428818
267,2013-04-01,80.629997,80.68,79.839996,80.110001,732100,75.026106
268,2013-04-02,80.459999,81.220001,80.459999,80.790001,1425000,75.662952
269,2013-04-03,81.139999,81.269997,79.989998,80.239998,989700,75.147853
270,2013-04-04,79.790001,80.339996,78.75,79.610001,1198500,74.557837
271,2013-04-05,78.25,78.43,77.440002,77.739998,2002000,72.806507
272,2013-04-08,78.309998,78.599998,77.769997,77.940002,1261300,72.993819
273,2013-04-09,77.629997,78.32,77.010002,77.879997,1687900,72.937622
274,2013-04-10,77.150002,78.25,77.129997,78.059998,1273100,73.106199
275,2013-04-11,77.449997,79.019997,77.349998,78.910004,2358100,73.902263
276,2013-04-12,77.489998,78.190002,77.410004,78.010002,2163900,73.059376
277,2013-04-15,77.260002,77.489998,76.449997,76.449997,1765100,71.598371
278,2013-04-16,78.75,78.959999,77.940002,78.870003,1176700,73.8648
279,2013-04-17,77.839996,77.839996,76.480003,76.879997,1867100,72.001083
280,2013-04-18,77.809998,78.639999,76.940002,78.209999,2347800,73.246681
281,2013-04-19,75.970001,76.650002,74.760002,75.110001,4379000,70.343413
282,2013-04-22,75.129997,75.169998,74.120003,74.690002,2026600,69.950069
283,2013-04-23,74.959999,75.800003,74.93,75.440002,1676300,70.652473
284,2013-04-24,76.699997,77.919998,76.510002,77.529999,1467300,72.609835
285,2013-04-25,78.209999,78.970001,78.18,78.620003,1046300,73.630666
286,2013-04-26,77.639999,78.209999,77.5,77.980003,807600,73.031281
287,2013-04-29,78.199997,79,78.099998,78.790001,1004400,73.789875
288,2013-04-30,78.900002,79.849998,78.760002,79.849998,889500,74.782604
289,2013-05-01,79.82,80.209999,78.730003,78.870003,721400,73.8648
290,2013-05-02,78.510002,78.919998,78.389999,78.690002,1300500,73.696223
291,2013-05-03,80.110001,81.699997,80.050003,81.440002,1347100,76.271704
292,2013-05-06,81.32,81.730003,80.959999,81.139999,531800,75.99074
293,2013-05-07,82.260002,82.32,81.559998,81.889999,654800,76.693144
294,2013-05-08,82.699997,83.129997,82.279999,82.75,1245400,77.498567
295,2013-05-09,82.209999,82.410004,81.589996,81.879997,719900,76.683776
296,2013-05-10,82.220001,82.629997,81.800003,82.379997,1147800,77.152045
297,2013-05-13,82.529999,82.629997,81.989998,82.07,563800,76.861721
298,2013-05-14,82.629997,83.349998,82.599998,83.110001,831000,77.835722
299,2013-05-15,81.940002,82.470001,81.870003,82.18,866400,76.964741
300,2013-05-16,81.459999,82.07,80.709999,80.75,1243600,75.62549
301,2013-05-17,80.190002,81.07,80.080002,80.889999,1876300,75.756605
302,2013-05-20,80.029999,80.769997,79.650002,80.410004,1712200,75.30707
303,2013-05-21,79.480003,80.120003,79.199997,79.57,1058900,74.520374
304,2013-05-22,79.830002,80.709999,78.470001,78.709999,813600,73.714951
305,2013-05-23,78.050003,78.610001,77.839996,78.199997,669500,73.237314
306,2013-05-24,77.099998,77.199997,75.629997,75.870003,2917300,71.055184
307,2013-05-28,77.919998,78.080002,76.57,77.010002,1251400,72.122838
308,2013-05-29,76.199997,76.459999,75.709999,75.989998,922800,71.167564
309,2013-05-30,76.139999,76.790001,76.120003,76.279999,1664400,71.439162
310,2013-05-31,74.440002,74.940002,73.440002,73.440002,1311900,69.798744
311,2013-06-03,75.010002,75.010002,74.230003,74.860001,1868900,71.148336
312,2013-06-04,75.309998,75.5,74.510002,74.82,1743500,71.110319
313,2013-06-05,74.599998,75.290001,74.459999,74.669998,2860000,70.967754
314,2013-06-06,75.839996,76.080002,74.959999,75.739998,1526700,71.984702
315,2013-06-07,75.809998,76.760002,75.550003,76.339996,1511600,72.554952
316,2013-06-10,77.260002,77.68,76.699997,77.550003,823200,73.704965
317,2013-06-11,76.32,76.730003,75.93,76.019997,662200,72.250818
318,2013-06-12,77.040001,77.059998,75.989998,76.099998,916000,72.326853
319,2013-06-13,75.809998,76.860001,75.75,76.760002,1178700,72.954133
320,2013-06-14,76.349998,76.75,75.82,75.889999,750100,72.127266
321,2013-06-17,77.519997,77.769997,76.860001,77.300003,973600,73.46736
322,2013-06-18,77.040001,77.449997,76.839996,77.18,1046400,73.353307
323,2013-06-19,77.089996,77.589996,76.190002,76.360001,1372200,72.573964
324,2013-06-20,75.339996,75.43,74.080002,74.559998,1629200,70.863208
325,2013-06-21,72.989998,73.099998,71.910004,72.75,3075500,69.142953
326,2013-06-24,71.190002,71.949997,71.07,71.449997,2542400,67.907405
327,2013-06-25,72.239998,72.75,71.209999,72.730003,2210700,69.123947
328,2013-06-26,74.43,75.110001,74.379997,74.68,1591400,70.977261
329,2013-06-27,75.550003,75.769997,75.089996,75.599998,1598500,71.851644
330,2013-06-28,73.360001,73.400002,72.419998,72.830002,2327100,69.218988
331,2013-07-01,72.709999,72.849998,71.050003,71.120003,2797800,67.593773
332,2013-07-02,71.919998,72.620003,71.629997,71.959999,3348000,68.392121
333,2013-07-03,71.059998,71.230003,70.68,70.82,1206100,67.308644
334,2013-07-05,70.419998,70.769997,69.959999,70.769997,1513800,67.261121
335,2013-07-08,71.559998,71.889999,71.410004,71.690002,1450200,68.135511
336,2013-07-09,72.220001,72.269997,71.760002,71.870003,1066600,68.306587
337,2013-07-10,71.849998,72.110001,71.550003,71.769997,1711000,68.211539
338,2013-07-11,73.730003,74.669998,73.360001,74.559998,1166200,70.863208
339,2013-07-12,74.870003,75.220001,74.300003,75.160004,1099000,71.433465
340,2013-07-15,75.580002,75.639999,74.809998,75.07,1364600,71.347923
341,2013-07-16,75.510002,75.699997,75.169998,75.699997,1167600,71.946684
342,2013-07-17,76.099998,76.400002,75.5,76,1564900,72.231813
343,2013-07-18,75.480003,75.529999,73.169998,73.900002,5043500,70.235935
344,2013-07-19,72.870003,73.470001,72.709999,72.809998,3308100,69.199975
345,2013-07-22,72.529999,72.839996,72.169998,72.389999,3226400,68.800801
346,2013-07-23,72.889999,72.919998,72.410004,72.529999,1538100,68.933859
347,2013-07-24,73.68,73.68,73.089996,73.160004,1942500,69.532628
348,2013-07-25,73.279999,74.029999,73.110001,73.959999,2212700,70.292958
349,2013-07-26,73.260002,73.730003,72.870003,73.690002,929300,70.036348
350,2013-07-29,73.07,73.230003,72.830002,73.019997,629700,69.399562
351,2013-07-30,74.110001,74.110001,73.080002,73.25,813600,69.618162
352,2013-07-31,73.5,73.580002,72.769997,72.889999,1347400,69.276011
353,2013-08-01,73.93,74.18,73.510002,74.080002,918500,70.407011
354,2013-08-02,74.360001,75.129997,74.220001,74.82,821000,71.110319
355,2013-08-05,74.870003,75.169998,74.769997,75.089996,754300,71.366929
356,2013-08-06,76.529999,76.559998,75.629997,75.839996,1242700,72.079742
357,2013-08-07,75.089996,75.589996,75.040001,75.5,1168500,71.756604
358,2013-08-08,75.129997,75.339996,74.839996,75.230003,876000,71.499994
359,2013-08-09,74.949997,75.25,74.610001,74.769997,668200,71.062795
360,2013-08-12,73.989998,74.379997,73.989998,74.330002,748400,70.644616
361,2013-08-13,74.529999,75.129997,74.25,75,415700,71.281394
362,2013-08-14,76.010002,76.580002,75.790001,76.220001,903600,72.440906
363,2013-08-15,75.550003,75.919998,74.949997,75.790001,1504900,72.032226
364,2013-08-16,75.830002,76.080002,75.410004,75.68,1319100,71.927679
365,2013-08-19,76.150002,76.199997,75.449997,75.529999,1239600,71.785115
366,2013-08-20,75.769997,76.029999,75.290001,75.650002,1172300,71.899168
367,2013-08-21,75.57,75.779999,74.830002,75,1009700,71.281394
368,2013-08-22,75.669998,76.040001,75.620003,75.830002,498600,72.070244
369,2013-08-23,76.599998,76.970001,76.389999,76.940002,703400,73.125209
370,2013-08-26,77.239998,77.459999,76.900002,76.900002,419500,73.087191
371,2013-08-27,76.410004,76.610001,75.370003,75.510002,815200,71.76611
372,2013-08-28,74.620003,75.190002,74.610001,74.839996,828900,71.129324
373,2013-08-29,74.410004,74.730003,74.25,74.32,628600,70.635109
